ppd_id,fy,EEGroupID,TierID,source_ActCosts,notes_ActCosts,ContributionFY,NormCostRate_tot,NormCostRate_EE,NormCostRate_ER,ReqContRate_ER,ReqContRate_tot,NormCostAmount_tot,NormCostAmount_EE,NormCostAmount_ER,ReqContAmount_ER,ReqContAmount_tot,NormCostRate_tot_est,NormCostRate_EE_est,NormCostRate_ER_est,ReqContRate_ER_est,ProjectedPayroll
6,2013,0,0,,,2015,.1286,.1148,.0138,.1089,.2237,,,,,,0,0,0,0,
6,2014,0,0,,,2016,.139,.11520001,.023800001,.1085,.2237,,,,,,0,0,0,0,
6,2015,0,0,,,2017,.13850001,.1189,.0196,.1078,.22670001,,,,,,0,0,0,0,
6,2016,0,0,,,2018,.1363,.1134,.0229,.1134,.22680001,,,,,,0,0,0,0,
7,2001,0,0,,,,,,,,,,,,,,0,0,0,0,
7,2002,0,0,,,2004,.1042,.00019999999,.10399999,.1,.1002,,,,,,0,0,0,0,
7,2003,0,0,,,2005,.099600002,.00019999999,.099399999,.1109,.1111,,,,,,0,0,0,0,
7,2004,0,0,,,2006,.0999,.000099999997,.099799998,.12540001,.12550001,,,,,,0,0,0,0,
7,2005,0,0,,,2007,.11149999,.050000001,.061500002,.12540001,.1754,,,,,,0,0,0,0,
7,2006,0,0,,,2008,.1205,.050000001,.070500001,.12540001,.1754,,,,,,0,0,0,0,
7,2007,0,0,,,2009,.1217,.050000001,.071699999,.1101,.1601,,,,,,0,0,0,0,
7,2008,0,0,,,2010,.1158,.050000001,.065799996,.11,.16,,,,,,0,0,0,0,
7,2009,0,0,,,2011,.117,.050000001,.067000002,.1246,.17459999,,,,,,0,0,0,0,
7,2010,0,0,,,2012,.1171,.050000001,.067100003,.1347,.1847,,,,,,0,0,0,0,
7,2011,0,0,,,2013,.1166,.050000001,.066599995,.1424,.19239999,,,,,,0,0,0,0,
7,2012,0,0,,,2014,.1166,.050000001,.066599995,.1488,.1988,,,,,,0,0,0,0,
7,2013,0,0,,,2015,.098900005,.0274,.071500003,.1476,.175,,,,,,0,0,0,0,
7,2014,0,0,,,2016,.1026,.029300001,.073299997,.145,.1743,,,,,,0,0,0,0,
7,2015,0,0,,,2017,.1073,.031199999,.076099999,.145,.1762,,,,,,0,0,0,0,
7,2016,0,0,,,2018,.108,.032899998,.075100005,.14749999,.18040001,,,,,,0,0,0,0,
