ppd_id,fy,EEGroupID,TierID,source_membership,notes_membership,beneficiaries_DisabilityRetirees,beneficiaries_DependentSurvivors,actives_tot,ActiveSalaries,ActiveAge_avg,ActiveTenure_avg,ActiveSalary_avg,InactiveVestedMembers,InactiveNonVested,beneficiaries_tot,benefits_tot,BeneficiaryAge_avg,BeneficiaryBenefit_avg,beneficiaries_ServiceRetirees,benefits_ServiceRetirees,ServiceRetireeAge_avg,ServiceRetireeBenefit_avg,ServiceRetAge_avg,ServiceRetTenure_avg,ServiceRetBenefit_avg,benefits_DisabilityRetirees,beneficiaries_survivors,beneficiaries_SpousalSurvivors,beneficiaries_other,DROPMembers,OtherMembers,TotMembership,ActiveSalary_avg_est,BeneficiaryBenefit_avg_est
168,2015,0,0,,,147,,1650,133966.17,,,81.19162,15,,2230,220181.28,,98.736,1546,,,,,,,,259,,278,278,,3895,1,1
168,2016,0,0,,,143,,1869,153785.53,,,82.282249,15,,2205,227189760,,103033.91,1607,,,,,,,,264,,191,191,,4089,1,1
169,2001,0,0,,,,,3353,116493.17,,,34.74297,174,,2825,50391.922,,17.837849,2825,50391.922,,,,,,,,,,,,6352,1,1
169,2002,0,0,,,,,3200,114264.92,,,35.707787,175,,2793,52132.383,,18.665371,2793,,,,,,,,,,,,,6168,1,1
169,2003,0,0,,,,,3098,115015.23,,,37.125641,95,,2826,55816.711,,19.751137,2826,,,,,,,,,,,,,6019,1,1
169,2004,0,0,,,,,3073,115548.43,,,37.601181,97,,2986,62588.121,,20.960524,2986,,,,,,,,,,,,,6156,1,1
169,2005,0,0,,,,,3008,118824.74,,,39.502907,318,,2940,62422.754,,21.232229,2940,,,,,,,,,,,,,6266,1,1
169,2006,0,0,,,,,3043,126457.52,,,41.556858,312,,2891,64620.754,,22.352388,2891,,,,,,,,,,,,,6246,1,1
169,2007,0,0,,,,,3083,132719.42,,,43.04879,179,,2833,69847.133,,24.654829,2833,,,,,,,,,,,,,6095,1,1
169,2008,0,0,,,,,3008,133007.69,,,44.217979,237,,2907,74288.875,,25.555168,2907,,,,,,,,,,,,,6152,1,1
169,2009,0,0,,,,,2995,135515.66,,,45.247299,455,,2898,75170.938,,25.938902,2898,,,,,,,,,,,,,6348,1,1
169,2010,0,0,,,,,2998,137355.16,,,45.815598,432,,2929,78988.781,,26.967833,2929,,,,,,,,,,,,,6359,1,1
169,2011,0,0,,,,,2987,135473.7,,,45.354439,435,,2998,83117.18,,27.724209,2998,,,,,,,,,,,,,6420,1,1
169,2012,0,0,,,,,2992.5,135168.81,,,45.169193,,,0,76607.914,,,,,,,,,,,,,,,,,1,0
169,2013,0,0,,,,,2998,134863.92,,,44.984631,407,,3094,89687.484,,28.987551,3094,,,,,,,,,,,,,6499,1,1
169,2014,0,0,,,,,2986,83059.219,,,27.816216,428,,3108,89882.93,,28.919861,3108,,,,,,,,,,,,,6522,1,1
169,2015,0,0,,,,,3012,140908.88,,,46.782494,432,,3094,90364.797,,29.206463,3094,,,,,,,,,,,,,6538,1,1
169,2016,0,0,,,,,3012,140908.88,,,46.782494,432,,0,90364.797,,29.206463,3094,,,,,,,,,,,,,6538,0,0
170,2001,0,0,,,,,2645,119609.3,,,45.221001,73,,2336,,,20.994236,2336,,,,,,,,,,,,,5054,0,1
170,2002,0,0,,,,,2519,117497.2,,,46.644001,95,,2371,,,21.683678,2371,,,,,,,,,,,,,4985,0,1
170,2003,0,0,,,,,2327,110338.1,,,47.416,81,,2644,,,,2644,,,,,,,,,,,,,5052,0,0
170,2004,0,0,,,,,2309,107808,,,46.689999,89,,2706,,,,2706,,,,,,,,,,,,,5104,0,0
170,2005,0,0,,,,,2448,117260.59,,,47.901001,89,,2699,,,25.503891,2699,,,,,,,,,,,,,5236,0,1
170,2006,0,0,,,,,2544,124836.53,,,49.070999,97,,2695,,,27.155474,2695,,,,,,,,,,,,,5336,0,1
170,2007,0,0,,,,,2571,133280.23,,,51.84,108,,2709,,,27.261351,2709,,,,,,,,,,,,,5388,0,1
170,2008,0,0,,,,,2671,139243.33,,,52.132,136,,2664,,,29.804054,2664,,,,,,,,,,,,,5471,0,1
170,2009,0,0,,,,,2406,134142.5,,,55.752998,164,,2731,,,29.642622,2731,,,,,,,,,,,,,5301,0,1
170,2010,0,0,,,,,2246,132529.47,,,59.007,189,,2808,,,30.336182,2808,,,,,,,,,,,,,5243,0,1
170,2011,0,0,,,,,2251,136555.47,,,60664,126,,2920,,,30.501369,2920,,,,,,,,,,,,,5297,0,1
170,2012,0,0,,,,,2228,137919.3,,,61.903,140,,2902,,,31.24328,2902,,,,,,,,,,,,,5270,0,1
170,2013,0,0,,,,,2324,144648.42,,,62.241001,173,,2911,,,31.30402,2911,,,,,,,,,,,,,5408,0,1
170,2014,0,0,,,,,2319,143184.48,,,61.744064,168,,2924,,,32.018127,2924,,,,,,,,,,,,,5411,1,1
170,2015,0,0,,,,,2370,151305.03,,,63.841999,173,,2966,,,33.261631,2966,,,,,,,,,,,,,5509,0,1
170,2016,0,0,,,,,2149,144121.91,,,67.065002,218,,3043,,,33.446598,3043,,,,,,,,,,,,,5410,0,1
171,2001,0,0,,,,,4081,149422.3,,,36.61414,244,,1906,,,,1906,,,,,,,,,,,,,6231,1,0
171,2002,0,0,,,,,3878,151180.06,,,38.984028,212,,2017,,,,2017,,,,,,,,,,,,,6107,1,0
171,2003,0,0,,,,,3867,152242.44,,,39.369652,196,,2095,,,,2095,,,,,,,,,,,,,6158,1,0
171,2004,0,0,,,,,3915,158062.13,,,40.373466,177,,2158,41315.617,,19.145329,2158,,,,,,,,,,,,,6250,1,1
171,2005,0,0,,,,,3802,158898.48,,,41.793396,231,,2239,48145.086,,21.502941,2239,,,,,,,,,,,,,6272,1,1
171,2006,0,0,,,,,3782,162849.14,,,43.059002,204,,2255,44697.637,,19.821568,2255,,,,,,,,,,,,,6241,1,1
171,2007,0,0,,,,,3760,167807.59,,,44.629681,211,,2353,47952.961,,20.379499,2353,,,,,,,,,,,,,6324,1,1
171,2008,0,0,,,,,3782,174113.56,,,46.03743,205,,2464,52358.457,,21.249374,2464,,,,,,,,,,,,,6451,1,1
171,2009,0,0,,,,,4017,186523.48,,,46.433529,211,,2516,54228.438,,21.553432,2516,,,,,,,,,,,,,6744,1,1
171,2010,0,0,,,,,4073,193229.88,,,47.441658,232,,2555,56035.176,,21.931576,2555,,,,,,,,,,,,,6860,1,1
171,2011,0,0,,,,,3807,177977.16,,,46.749977,246,,2803,64606.043,,23.048891,2803,,,,,,,,,,,,,6856,1,1
171,2012,0,0,,,,,3907,181406.59,,,46.431171,250,,2802,65665.57,,23.435249,2802,,,,,,,,,,,,,6959,1,1
171,2013,0,0,,,,,3901,182634.17,,,46.817272,283,,2834,67188.938,,23.708164,2834,,,,,,,,,,,,,7018,1,1
171,2014,0,0,,,,,3889,191299.78,,,49.189968,303,,2897,70348.258,,24.28314,2897,,,,,,,,,,,,,7089,1,1
